"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"CY069301","1729","Human","4 (HA)","H3N2","Senegal","T","2009/06/29","Influenza A virus (A/Dakar/WRAIR0011T/2009(H3N2))","","","","","","c"
"CY093216","1731","Human","4 (HA)","H3N2","Senegal","T","2009/07/29","Influenza A virus (A/Dakar/WRAIR0013N/2009(H3N2))","","","","","","c"
"KC882924","1701","Human","4 (HA)","H3N2","USA","N","2011/01/25","Influenza A virus (A/Delaware/01/2011(H3N2))","","","","","","c"
"KT841860","1701","Human","4 (HA)","H3N2","USA","N","2015/01/02","Influenza A virus (A/Delaware/01/2015(H3N2))","","","","","","c"
"KC882929","1701","Human","4 (HA)","H3N2","USA","N","2011/01/25","Influenza A virus (A/Delaware/02/2011(H3N2))","","","","","","c"
"KC892303","1701","Human","4 (HA)","H3N2","USA","N","2012/02/15","Influenza A virus (A/Delaware/02/2012(H3N2))","","","","","","c"
"CY214538","1737","Human","4 (HA)","H3N2","USA","N","2017/01/04","Influenza A virus (A/Delaware/02/2017(H3N2))","","","","","","c"
"KC882923","1701","Human","4 (HA)","H3N2","USA","N","2011/01/23","Influenza A virus (A/Delaware/03/2011(H3N2))","","","","","","c"
"KT841362","1701","Human","4 (HA)","H3N2","USA","N","2015/01/06","Influenza A virus (A/Delaware/03/2015(H3N2))","","","","","","c"
"CY218929","1737","Human","4 (HA)","H3N2","USA","N","2017/01/08","Influenza A virus (A/Delaware/03/2017(H3N2))","","","","","","c"
"KC535491","1701","Human","4 (HA)","H3N2","USA","N","2010/08/17","Influenza A virus (A/Delaware/04/2010(H3N2))","","","","","","c"
"KC883348","1701","Human","4 (HA)","H3N2","USA","N","2011/02/08","Influenza A virus (A/Delaware/05/2011(H3N2))","","","","","","c"
"KT836106","1701","Human","4 (HA)","H3N2","USA","N","2015/01/30","Influenza A virus (A/Delaware/05/2015(H3N2))","","","","","","c"
"KC882830","1701","Human","4 (HA)","H3N2","USA","N","2010/11/30","Influenza A virus (A/Delaware/06/2010(H3N2))","","","","","","c"
"KF790339","1701","Human","4 (HA)","H3N2","USA","N","2013/01/12","Influenza A virus (A/Delaware/06/2013(H3N2))","","","","","","c"
"KM064481","1701","Human","4 (HA)","H3N2","USA","N","2014/03/27","Influenza A virus (A/Delaware/06/2014(H3N2))","","","","","","c"
"KT835821","1701","Human","4 (HA)","H3N2","USA","N","2015/01/28","Influenza A virus (A/Delaware/06/2015(H3N2))","","","","","","c"
"CY220095","1737","Human","4 (HA)","H3N2","USA","N","2017/01/26","Influenza A virus (A/Delaware/06/2017(H3N2))","","","","","","c"
"KC892230","1701","Human","4 (HA)","H3N2","USA","N","2012/04/21","Influenza A virus (A/Delaware/07/2012(H3N2))","","","","","","c"
"KF790325","1701","Human","4 (HA)","H3N2","USA","N","2013/01/07","Influenza A virus (A/Delaware/07/2013(H3N2))","","","","","","c"
"CY220111","1737","Human","4 (HA)","H3N2","USA","N","2017/02/02","Influenza A virus (A/Delaware/07/2017(H3N2))","","","","","","c"
"KF790403","1701","Human","4 (HA)","H3N2","USA","N","2013/02/01","Influenza A virus (A/Delaware/08/2013(H3N2))","","","","","","c"
"KC883104","1701","Human","4 (HA)","H3N2","USA","N","2011/03/06","Influenza A virus (A/Delaware/09/2011(H3N2))","","","","","","c"
"KT835972","1701","Human","4 (HA)","H3N2","USA","N","2015/01/24","Influenza A virus (A/Delaware/09/2015(H3N2))","","","","","","c"
"CY221942","1737","Human","4 (HA)","H3N2","USA","N","2017/02/15","Influenza A virus (A/Delaware/09/2017(H3N2))","","","","","","c"
"KC883142","1701","Human","4 (HA)","H3N2","USA","N","2011/04/11","Influenza A virus (A/Delaware/10/2011(H3N2))","","","","","","c"
"KF790109","1701","Human","4 (HA)","H3N2","USA","N","2012/10/20","Influenza A virus (A/Delaware/10/2012(H3N2))","","","","","","c"
"KM064179","1701","Human","4 (HA)","H3N2","USA","N","2013/10/23","Influenza A virus (A/Delaware/10/2013(H3N2))","","","","","","c"
"KT841305","1701","Human","4 (HA)","H3N2","USA","N","2015/01/01","Influenza A virus (A/Delaware/10/2015(H3N2))","","","","","","c"
"KX917020","1737","Human","4 (HA)","H3N2","USA","N","2016/03/01","Influenza A virus (A/Delaware/10/2016(H3N2))","","","","","","c"
"CY225006","1737","Human","4 (HA)","H3N2","USA","N","2017/02/09","Influenza A virus (A/Delaware/10/2017(H3N2))","","","","","","c"
"KC892523","1701","Human","4 (HA)","H3N2","USA","N","2011/11/23","Influenza A virus (A/Delaware/11/2011(H3N2))","","","","","","c"
"CY223878","1737","Human","4 (HA)","H3N2","USA","N","2017/02/13","Influenza A virus (A/Delaware/12/2017(H3N2))","","","","","","c"
"EU516019","1701","Human","4 (HA)","H3N2","USA","N","2007/03/17","Influenza A virus (A/Delaware/13/2007(H3N2))","","","","","","c"
"KC892776","1701","Human","4 (HA)","H3N2","USA","N","2011/12/28","Influenza A virus (A/Delaware/13/2011(H3N2))","","","","","","c"
"KT842393","1701","Human","4 (HA)","H3N2","USA","N","2015/02/24","Influenza A virus (A/Delaware/13/2015(H3N2))","","","","","","c"
"CY223886","1737","Human","4 (HA)","H3N2","USA","N","2017/02/13","Influenza A virus (A/Delaware/13/2017(H3N2))","","","","","","c"
"CY224838","1737","Human","4 (HA)","H3N2","USA","N","2017/02/24","Influenza A virus (A/Delaware/15/2017(H3N2))","","","","","","c"
"KX416216","1737","Human","4 (HA)","H3N2","USA","N","2016/03/28","Influenza A virus (A/Delaware/16/2016(H3N2))","","","","","","c"
"KM064330","1701","Human","4 (HA)","H3N2","USA","N","2013/12/02","Influenza A virus (A/Delaware/17/2013(H3N2))","","","","","","c"
"KY090401","1701","Human","4 (HA)","H3N2","USA","N","2015/01/26","Influenza A virus (A/Delaware/17/2015(H3N2))","","","","","","c"
"KT842403","1701","Human","4 (HA)","H3N2","USA","N","2015/02/23","Influenza A virus (A/Delaware/18/2015(H3N2))","","","","","","c"
"KT838244","1701","Human","4 (HA)","H3N2","USA","N","2014/10/11","Influenza A virus (A/Delaware/19/2014(H3N2))","","","","","","c"
"CY227902","1737","Human","4 (HA)","H3N2","USA","N","2017/03/21","Influenza A virus (A/Delaware/19/2017(H3N2))","","","","","","c"
"KT837713","1701","Human","4 (HA)","H3N2","USA","N","2014/10/21","Influenza A virus (A/Delaware/22/2014(H3N2))","","","","","","c"
"KT842822","1701","Human","4 (HA)","H3N2","USA","N","2015/03/08","Influenza A virus (A/Delaware/22/2015(H3N2))","","","","","","c"
"CY228581","1737","Human","4 (HA)","H3N2","USA","N","2017/03/23","Influenza A virus (A/Delaware/22/2017(H3N2))","","","","","","c"
"KF790081","1701","Human","4 (HA)","H3N2","USA","N","2012/12/19","Influenza A virus (A/Delaware/23/2012(H3N2))","","","","","","c"
"KF790063","1701","Human","4 (HA)","H3N2","USA","N","2012/12/19","Influenza A virus (A/Delaware/23/2012(H3N2))","","","","","","c"
"CY232436","1737","Human","4 (HA)","H3N2","USA","N","2017/04/03","Influenza A virus (A/Delaware/24/2017(H3N2))","","","","","","c"
"KT838853","1701","Human","4 (HA)","H3N2","USA","N","2014/11/20","Influenza A virus (A/Delaware/25/2014(H3N2))","","","","","","c"
"CY209000","1737","Human","4 (HA)","H3N2","USA","N","2016/10/27","Influenza A virus (A/Delaware/28/2016(H3N2))","","","","","","c"
"CY210329","1737","Human","4 (HA)","H3N2","USA","N","2016/11/06","Influenza A virus (A/Delaware/30/2016(H3N2))","","","","","","c"
"KT839522","1701","Human","4 (HA)","H3N2","USA","N","2014/12/07","Influenza A virus (A/Delaware/31/2014(H3N2))","","","","","","c"
"CY211697","1737","Human","4 (HA)","H3N2","USA","N","2016/11/09","Influenza A virus (A/Delaware/31/2016(H3N2))","","","","","","c"
"CY210377","1737","Human","4 (HA)","H3N2","USA","N","2016/11/15","Influenza A virus (A/Delaware/32/2016(H3N2))","","","","","","c"
"CY210416","1737","Human","4 (HA)","H3N2","USA","N","2016/11/15","Influenza A virus (A/Delaware/33/2016(H3N2))","","","","","","c"
"KY090228","1701","Human","4 (HA)","H3N2","USA","N","2015/03/24","Influenza A virus (A/Delaware/34/2015(H3N2))","","","","","","c"
"KY090505","1701","Human","4 (HA)","H3N2","USA","N","2015/03/07","Influenza A virus (A/Delaware/36/2015(H3N2))","","","","","","c"
"CY213794","1737","Human","4 (HA)","H3N2","USA","N","2016/11/30","Influenza A virus (A/Delaware/36/2016(H3N2))","","","","","","c"
"CY187647","1701","Human","4 (HA)","H3N2","USA","N","2014/03/25","Influenza A virus (A/Delaware/3729/2014(H3N2))","","","","","","c"
"KY090238","1701","Human","4 (HA)","H3N2","USA","N","2015/03/10","Influenza A virus (A/Delaware/38/2015(H3N2))","","","","","","c"
"CY211802","1737","Human","4 (HA)","H3N2","USA","N","2016/12/04","Influenza A virus (A/Delaware/38/2016(H3N2))","","","","","","c"
"KT840321","1701","Human","4 (HA)","H3N2","USA","N","2014/12/29","Influenza A virus (A/Delaware/39/2014(H3N2))","","","","","","c"
"CY212994","1737","Human","4 (HA)","H3N2","USA","N","2016/12/19","Influenza A virus (A/Delaware/39/2016(H3N2))","","","","","","c"
"CY213002","1737","Human","4 (HA)","H3N2","USA","N","2016/12/19","Influenza A virus (A/Delaware/40/2016(H3N2))","","","","","","c"
"KY089101","1701","Human","4 (HA)","H3N2","USA","N","2014/12/23","Influenza A virus (A/Delaware/41/2014(H3N2))","","","","","","c"
"KT840287","1701","Human","4 (HA)","H3N2","USA","N","2014/12/22","Influenza A virus (A/Delaware/42/2014(H3N2))","","","","","","c"
"KT840987","1701","Human","4 (HA)","H3N2","USA","N","2014/12/17","Influenza A virus (A/Delaware/43/2014(H3N2))","","","","","","c"
"KX412510","1737","Human","4 (HA)","H3N2","USA","N","2015/12/02","Influenza A virus (A/Delaware/44/2015(H3N2))","","","","","","c"
"CY193655","1701","Human","4 (HA)","H3N2","USA","N","2014/12/24","Influenza A virus (A/Delaware/4402/2014(H3N2))","","","","","","c"
"KX412558","1737","Human","4 (HA)","H3N2","USA","N","2015/12/21","Influenza A virus (A/Delaware/46/2015(H3N2))","","","","","","c"
"CY193873","1701","Human","4 (HA)","H3N2","USA","N","2015/01/30","Influenza A virus (A/Delaware/4620/2015(H3N2))","","","","","","c"
"CY235010","1701","Human","4 (HA)","H3N2","USA","N","2017/01/11","Influenza A virus (A/Delaware/5728/2017(H3N2))","","","","","","c"
"KF952368","1727","Human","4 (HA)","H3N2","India","T","2013/02/16","Influenza A virus (A/Delhi/1183/2013(H3N2))","","","","","","c"
"KF952369","1727","Human","4 (HA)","H3N2","India","T","2013/02/16","Influenza A virus (A/Delhi/1191/2013(H3N2))","","","","","","c"
"KF952370","1727","Human","4 (HA)","H3N2","India","T","2013/02/16","Influenza A virus (A/Delhi/1254/2013(H3N2))","","","","","","c"
"KF952372","1727","Human","4 (HA)","H3N2","India","T","2013/02/17","Influenza A virus (A/Delhi/1313/2013(H3N2))","","","","","","c"
"KF952373","1727","Human","4 (HA)","H3N2","India","T","2013/02/18","Influenza A virus (A/Delhi/1391/2013(H3N2))","","","","","","c"
"KF952375","1727","Human","4 (HA)","H3N2","India","T","2013/02/19","Influenza A virus (A/Delhi/1549/2013(H3N2))","","","","","","c"
"KF952376","1727","Human","4 (HA)","H3N2","India","T","2013/02/19","Influenza A virus (A/Delhi/1550/2013(H3N2))","","","","","","c"
"KF952377","1727","Human","4 (HA)","H3N2","India","T","2013/02/19","Influenza A virus (A/Delhi/1553/2013(H3N2))","","","","","","c"
"KF952378","1727","Human","4 (HA)","H3N2","India","T","2013/02/19","Influenza A virus (A/Delhi/1702/2013(H3N2))","","","","","","c"
"KF952379","1727","Human","4 (HA)","H3N2","India","T","2013/02/20","Influenza A virus (A/Delhi/1720/2013(H3N2))","","","","","","c"
"KF952380","1727","Human","4 (HA)","H3N2","India","T","2013/02/20","Influenza A virus (A/Delhi/1782/2013(H3N2))","","","","","","c"
"KF952381","1727","Human","4 (HA)","H3N2","India","T","2013/02/20","Influenza A virus (A/Delhi/1833/2013(H3N2))","","","","","","c"
"KF952382","1727","Human","4 (HA)","H3N2","India","T","2013/02/21","Influenza A virus (A/Delhi/1951/2013(H3N2))","","","","","","c"
"KF952383","1727","Human","4 (HA)","H3N2","India","T","2013/02/22","Influenza A virus (A/Delhi/2274/2013(H3N2))","","","","","","c"
"KF952384","1727","Human","4 (HA)","H3N2","India","T","2013/02/23","Influenza A virus (A/Delhi/2277/2013(H3N2))","","","","","","c"
"KF952386","1727","Human","4 (HA)","H3N2","India","T","2013/02/25","Influenza A virus (A/Delhi/2487/2013(H3N2))","","","","","","c"
"KF952364","1727","Human","4 (HA)","H3N2","India","T","2013/02/12","Influenza A virus (A/Delhi/567/2013(H3N2))","","","","","","c"
"KF952367","1727","Human","4 (HA)","H3N2","India","T","2013/02/13","Influenza A virus (A/Delhi/764/2013(H3N2))","","","","","","c"
"KF952357","1727","Human","4 (HA)","H3N2","India","T","2011/02/07","Influenza A virus (A/Delhi/8865/2011(H3N2))","","","","","","c"
"KF952360","1727","Human","4 (HA)","H3N2","India","T","2012/10/29","Influenza A virus (A/Delhi/9874/2012(H3N2))","","","","","","c"
"KF952362","1727","Human","4 (HA)","H3N2","India","T","2012/12/07","Influenza A virus (A/Delhi/9971/2012(H3N2))","","","","","","c"
"CY193994","1701","Human","4 (HA)","H3N2","USA","N","2015/02/04","Influenza A virus (A/Delware/4741/2015(H3N2))","","","","","","c"
"HQ880599","1701","Human","4 (HA)","H3N2","Denmark","N","2010/12/22","Influenza A virus (A/Denmark/105/2010(H3N2))","","","","","","c"
"JF327387","1701","Human","4 (HA)","H3N2","Denmark","N","2011/01/17","Influenza A virus (A/Denmark/21/2011(H3N2))","","","","","","c"
"JF327386","1701","Human","4 (HA)","H3N2","Denmark","N","2011/01/11","Influenza A virus (A/Denmark/22/2011(H3N2))","","","","","","c"
"KC882867","1701","Human","4 (HA)","H3N2","USA","N","2010/12/29","Influenza A virus (A/District Of Columbia/01/2010(H3N2))","","","","","","c"
"KF790333","1701","Human","4 (HA)","H3N2","USA","N","2012/12/17","Influenza A virus (A/District Of Columbia/01/2012(H3N2))","","","","","","c"
"KF790398","1701","Human","4 (HA)","H3N2","USA","N","2013/03/27","Influenza A virus (A/District Of Columbia/01/2013(H3N2))","","","","","","c"
"KC882891","1701","Human","4 (HA)","H3N2","USA","N","2010/12/31","Influenza A virus (A/District Of Columbia/02/2010(H3N2))","","","","","","c"
"KC883320","1701","Human","4 (HA)","H3N2","USA","N","2011/01/02","Influenza A virus (A/District Of Columbia/02/2011(H3N2))","","","","","","c"
"KF790316","1701","Human","4 (HA)","H3N2","USA","N","2012/12/17","Influenza A virus (A/District Of Columbia/02/2012(H3N2))","","","","","","c"
"KC882977","1701","Human","4 (HA)","H3N2","USA","N","2011/02/15","Influenza A virus (A/District Of Columbia/03/2011(H3N2))","","","","","","c"
"KT837342","1701","Human","4 (HA)","H3N2","USA","N","2014/10/30","Influenza A virus (A/District Of Columbia/03/2014(H3N2))","","","","","","c"
"KT840515","1701","Human","4 (HA)","H3N2","USA","N","2014/12/26","Influenza A virus (A/District Of Columbia/04/2014(H3N2))","","","","","","c"
"KT841091","1701","Human","4 (HA)","H3N2","USA","N","2014/12/19","Influenza A virus (A/District Of Columbia/05/2014(H3N2))","","","","","","c"
"KT840394","1701","Human","4 (HA)","H3N2","USA","N","2014/12/27","Influenza A virus (A/District Of Columbia/08/2014(H3N2))","","","","","","c"
"KY089164","1701","Human","4 (HA)","H3N2","USA","N","2014/12/26","Influenza A virus (A/District Of Columbia/09/2014(H3N2))","","","","","","c"
"KT840322","1701","Human","4 (HA)","H3N2","USA","N","2014/12/28","Influenza A virus (A/District Of Columbia/10/2014(H3N2))","","","","","","c"
"CY141184","1701","Human","4 (HA)","H3N2","USA","N","2013/01/04","Influenza A virus (A/District of Colombia/3169/2013(H3N2))","","","","","","c"
"CY193505","1701","Human","4 (HA)","H3N2","USA","N","2014/12/29","Influenza A virus (A/District of Columbia/4252/2014(H3N2))","","","","","","c"
"CY193995","1701","Human","4 (HA)","H3N2","USA","N","2015/02/11","Influenza A virus (A/District of Columbia/4742/2015(H3N2))","","","","","","c"
"CY093224","1731","Human","4 (HA)","H3N2","USA","N","2010/11/17","Influenza A virus (A/District of Columbia/WRAIR0300/2010(H3N2))","","","","","","c"
"CY093232","1731","Human","4 (HA)","H3N2","USA","N","2010/11/23","Influenza A virus (A/District of Columbia/WRAIR0301/2010(H3N2))","","","","","","c"
"CY093383","1731","Human","4 (HA)","H3N2","USA","N","2010/09/11","Influenza A virus (A/District of Columbia/WRAIR1753P/2010(H3N2))","","","","","","c"
"JN872427","1701","Human","4 (HA)","H3N2","Brazil","T","2011/05/18","Influenza A virus (A/Distrito Federal/40421/2011(H3N2))","","","","","","c"
"JN872405","1701","Human","4 (HA)","H3N2","Brazil","T","2010/07/14","Influenza A virus (A/Distrito Federal/59753/2010(H3N2))","","","","","","c"
"JN872406","1701","Human","4 (HA)","H3N2","Brazil","T","2010/07/14","Influenza A virus (A/Distrito Federal/59766/2010(H3N2))","","","","","","c"
"JN872407","1701","Human","4 (HA)","H3N2","Brazil","T","2010/07/14","Influenza A virus (A/Distrito Federal/59877/2010(H3N2))","","","","","","c"
"JN872408","1701","Human","4 (HA)","H3N2","Brazil","T","2010/10/01","Influenza A virus (A/Distrito Federal/86727/2010(H3N2))","","","","","","c"
"JN872409","1701","Human","4 (HA)","H3N2","Brazil","T","2010/10/09","Influenza A virus (A/Distrito Federal/93487/2010(H3N2))","","","","","","c"
"KT819393","1701","Human","4 (HA)","H3N2","United Arab Emirates","N","2014/12/15","Influenza A virus (A/Dubai/NHRC_CVS0031/2014(H3N2))","","","","","","c"
"KT374336","1701","Human","4 (HA)","H3N2","United Arab Emirates","N","2014/12/16","Influenza A virus (A/Dubai/NHRC_CVS0035/2014(H3N2))","","","","","","c"
"KT374337","1701","Human","4 (HA)","H3N2","United Arab Emirates","N","2014/12/18","Influenza A virus (A/Dubai/NHRC_CVS0040/2014(H3N2))","","","","","","c"
"CY012616","1717","Human","4 (HA)","H3N2","New Zealand","S","2000/01/21","Influenza A virus (A/Dunedin/1/2000 (H3N2))","","","M","","","c"
"CY015548","1714","Human","4 (HA)","H3N2","New Zealand","S","2002/06/07","Influenza A virus (A/Dunedin/1/2002(H3N2))","","47 Y","M","","","c"
"CY011400","1721","Human","4 (HA)","H3N2","New Zealand","S","2002/07/09","Influenza A virus (A/Dunedin/10/2002(H3N2))","","27 Y","F","","","c"
"CY013421","1717","Human","4 (HA)","H3N2","New Zealand","S","2002/07/23","Influenza A virus (A/Dunedin/12/2002(H3N2))","","81 Y","F","","","c"
"CY011656","1721","Human","4 (HA)","H3N2","New Zealand","S","2002/08/01","Influenza A virus (A/Dunedin/14/2002(H3N2))","","14 Y","F","","","c"
"CY013104","1718","Human","4 (HA)","H3N2","New Zealand","S","2002/08/12","Influenza A virus (A/Dunedin/18/2002(H3N2))","","33 Y","M","","","c"
"CY013375","1721","Human","4 (HA)","H3N2","New Zealand","S","2000/02/21","Influenza A virus (A/Dunedin/3/2000(H3N2))","","","M","","","c"
"CY012640","1721","Human","4 (HA)","H3N2","New Zealand","S","2002/06/07","Influenza A virus (A/Dunedin/3/2002(H3N2))","","39 Y","M","","","c"
"CY013445","1724","Human","4 (HA)","H3N2","New Zealand","S","2003/08/02","Influenza A virus (A/Dunedin/38/2003(H3N2))","","21 Y","F","","","c"
"CY012008","1708","Human","4 (HA)","H3N2","New Zealand","S","2002/07/01","Influenza A virus (A/Dunedin/8/2002(H3N2))","","48 Y","M","","","c"
"CY012000","1714","Human","4 (HA)","H3N2","New Zealand","S","2002/07/09","Influenza A virus (A/Dunedin/9/2002(H3N2))","","54 Y","F","","","c"
"JX978770","1735","Human","4 (HA)","H3N2","Russia","N","2012/03/20","Influenza A virus (A/Ekaterinburg/RII06/2012(H3N2))","","","","","","c"
"KC488834","1727","Human","4 (HA)","H3N2","Russia","N","2012/04/15","Influenza A virus (A/Ekaterinburg/RII13/2012(H3N2))","","","","","","c"
"KC488809","1732","Human","4 (HA)","H3N2","Russia","N","2012/02/29","Influenza A virus (A/Ekaterinburg/RII3/2012(H3N2))","","","","","","c"
"JX518887","1701","Human","4 (HA)","H3N2","United Kingdom","N","2011/02/21","Influenza A virus (A/England/215/2011(H3N2))","","","","","","c"
"CY113557","1732","Human","4 (HA)","H3N2","United Kingdom","N","1991/09/15","Influenza A virus (A/England/260/1991(H3N2))","","","","","","c"
"CY088014","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/03","Influenza A virus (A/England/419/2003(H3N2))","","","","","","c"
"CY088030","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/10/29","Influenza A virus (A/England/425/2003(H3N2))","","","","","","c"
"CY087976","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/10/24","Influenza A virus (A/England/430/2003(H3N2))","","","","","","c"
"CY088038","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/12","Influenza A virus (A/England/438/2003(H3N2))","","","","","","c"
"CY088022","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/03","Influenza A virus (A/England/442/2003(H3N2))","","","","","","c"
"CY088054","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/03","Influenza A virus (A/England/445/2003(H3N2))","","","","","","c"
"CY087998","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/10/27","Influenza A virus (A/England/446/2003(H3N2))","","","","","","c"
"CY088086","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/11","Influenza A virus (A/England/460/2003(H3N2))","","","","","","c"
"CY088158","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/05","Influenza A virus (A/England/470/2003(H3N2))","","","","","","c"
"CY088110","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/03","Influenza A virus (A/England/475/2003(H3N2))","","","","","","c"
"CY088182","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/19","Influenza A virus (A/England/479/2003(H3N2))","","","","","","c"
"CY088262","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/26","Influenza A virus (A/England/484/2003(H3N2))","","","","","","c"
"CY107130","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/26","Influenza A virus (A/England/484/2003(H3N2))","","","","","","c"
"CY088318","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/12/05","Influenza A virus (A/England/485/2003(H3N2))","","","","","","c"
"CY088278","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/24","Influenza A virus (A/England/487/2003(H3N2))","","","","","","c"
"CY088302","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/23","Influenza A virus (A/England/493/2003(H3N2))","","","","","","c"
"CY088326","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/27","Influenza A virus (A/England/508/2003(H3N2))","","","","","","c"
"CY088198","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/20","Influenza A virus (A/England/516/2003(H3N2))","","","","","","c"
"CY088206","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/05","Influenza A virus (A/England/518/2003(H3N2))","","","","","","c"
"CY088222","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/20","Influenza A virus (A/England/520/2003(H3N2))","","","","","","c"
"CY088254","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/27","Influenza A virus (A/England/525/2003(H3N2))","","","","","","c"
"CY107162","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/12/04","Influenza A virus (A/England/528/2003(H3N2))","","","","","","c"
"CY088230","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/20","Influenza A virus (A/England/531/2003(H3N2))","","","","","","c"
"CY088382","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/27","Influenza A virus (A/England/532/2003(H3N2))","","","","","","c"
"CY088374","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/26","Influenza A virus (A/England/534/2003(H3N2))","","","","","","c"
"CY088406","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/12/18","Influenza A virus (A/England/547/2003(H3N2))","","","","","","c"
"CY088414","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/12/18","Influenza A virus (A/England/552/2003(H3N2))","","","","","","c"
"CY088366","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/12/05","Influenza A virus (A/England/558/2003(H3N2))","","","","","","c"
"CY088350","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/12/04","Influenza A virus (A/England/567/2003(H3N2))","","","","","","c"
"CY088334","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/26","Influenza A virus (A/England/568/2003(H3N2))","","","","","","c"
"CY088438","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/16","Influenza A virus (A/England/584/2003(H3N2))","","","","","","c"
"CY088270","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/25","Influenza A virus (A/England/585/2003(H3N2))","","","","","","c"
"CY088449","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/12/16","Influenza A virus (A/England/592/2003(H3N2))","","","","","","c"
"CY088070","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/17","Influenza A virus (A/England/642/2003(H3N2))","","","","","","c"
"CY107082","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/06","Influenza A virus (A/England/754/2003(H3N2))","","","","","","c"
"CY088430","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/12/02","Influenza A virus (A/England/917/2003(H3N2))","","","","","","c"
"CY088190","1701","Human","4 (HA)","H3N2","United Kingdom","N","2003/11/17","Influenza A virus (A/England/944/2003(H3N2))","","","","","","c"
"CY112468","1732","Human","4 (HA)","H3N2","Netherlands","N","1992/01/09","Influenza A virus (A/Enschede/1285/1992(H3N2))","","","","","","c"
"KY925426","1762","Human","4 (HA)","H3N2","Brazil","T","2014/07/02","Influenza A virus (A/Farroupilha/LACENRS-1297/2014(H3N2))","","","","","","c"
"CY112476","1732","Human","4 (HA)","H3N2","Finland","N","1992/01/24","Influenza A virus (A/Finland/218/1992(H3N2))","","","","","","c"
"CY112484","1732","Human","4 (HA)","H3N2","Finland","N","1992/01/24","Influenza A virus (A/Finland/220/1992(H3N2))","","","","","","c"
"KY328772","1701","Human","4 (HA)","H3N2","Iran","N","2016/03/26","Influenza A virus (A/Firuzkuh/49748/2016(H3N2))","","","","","","c"
"EU100720","1701","Human","4 (HA)","H3N2","USA","N","2007/01/09","Influenza A virus (A/Florida/01/2007(H3N2))","","","","","","c"
"GQ895034","1701","Human","4 (HA)","H3N2","USA","N","2009/02/08","Influenza A virus (A/Florida/01/2009(H3N2))","","","","","","c"
"KF789944","1701","Human","4 (HA)","H3N2","USA","N","2013/01/03","Influenza A virus (A/Florida/01/2013(H3N2))","","","","","","c"
"KT841714","1701","Human","4 (HA)","H3N2","USA","N","2015/01/02","Influenza A virus (A/Florida/01/2015(H3N2))","","","","","","c"
"KX413809","1737","Human","4 (HA)","H3N2","USA","N","2016/01/07","Influenza A virus (A/Florida/01/2016(H3N2))","","","","","","c"
"CY215106","1737","Human","4 (HA)","H3N2","USA","N","2017/01/04","Influenza A virus (A/Florida/01/2017(H3N2))","","","","","","c"
"KC892790","1701","Human","4 (HA)","H3N2","USA","N","2012/01/09","Influenza A virus (A/Florida/02/2012(H3N2))","","","","","","c"
"CY215953","1737","Human","4 (HA)","H3N2","USA","N","2017/01/07","Influenza A virus (A/Florida/03/2017(H3N2))","","","","","","c"
"EU516073","1701","Human","4 (HA)","H3N2","USA","N","2007/10/09","Influenza A virus (A/Florida/04/2007(H3N2))","","","","","","c"
